Date,Open,High,Low,Close,Adj Close,Volume
22-08-2019,1194.069946,1198.011963,1178.579956,1189.530029,1189.530029,947500
23-08-2019,1181.98999,1194.079956,1147.75,1151.290039,1151.290039,1687000
26-08-2019,1157.26001,1169.469971,1152.959961,1168.890015,1168.890015,1226100
27-08-2019,1180.530029,1182.400024,1161.449951,1167.839966,1167.839966,1077200
28-08-2019,1161.709961,1176.420044,1157.300049,1171.02002,1171.02002,802000
29-08-2019,1181.119995,1196.060059,1181.119995,1192.849976,1192.849976,1088400
30-08-2019,1198.5,1198.5,1183.802979,1188.099976,1188.099976,1129800
03-09-2019,1177.030029,1186.890015,1163.199951,1168.390015,1168.390015,1479900
04-09-2019,1176.709961,1183.47998,1171,1181.410034,1181.410034,1068900
05-09-2019,1191.530029,1213.040039,1191.530029,1211.380005,1211.380005,1408100
06-09-2019,1208.130005,1212.015015,1202.521973,1204.930054,1204.930054,1072100
09-09-2019,1204,1220,1192.619995,1204.410034,1204.410034,1471900
10-09-2019,1195.150024,1210,1194.579956,1206,1206,1260100
11-09-2019,1203.410034,1222.599976,1202.199951,1220.170044,1220.170044,1307000
12-09-2019,1224.300049,1241.859985,1223.02002,1234.25,1234.25,1725900
13-09-2019,1231.349976,1240.880005,1227.01001,1239.560059,1239.560059,1301400
16-09-2019,1229.52002,1239.560059,1225.609985,1231.300049,1231.300049,1053300
17-09-2019,1230.400024,1235,1223.689941,1229.150024,1229.150024,955100
18-09-2019,1227.51001,1235.609985,1216.530029,1232.410034,1232.410034,1135100
19-09-2019,1232.060059,1244.439941,1232.02002,1238.709961,1238.709961,996000
20-09-2019,1233.119995,1243.319946,1223.079956,1229.930054,1229.930054,2270000
23-09-2019,1226,1239.089966,1224.170044,1234.030029,1234.030029,1062400
24-09-2019,1240,1246.73999,1210.680054,1218.76001,1218.76001,1583200
25-09-2019,1215.819946,1248.300049,1210.089966,1246.52002,1246.52002,1453000
26-09-2019,1241.959961,1245,1232.267944,1241.390015,1241.390015,1538000
27-09-2019,1243.01001,1244.02002,1214.449951,1225.089966,1225.089966,1353900
30-09-2019,1220.969971,1226,1212.300049,1219,1219,1404100
01-10-2019,1219,1231.22998,1203.579956,1205.099976,1205.099976,1273500
02-10-2019,1196.97998,1196.97998,1171.290039,1176.630005,1176.630005,1615100
03-10-2019,1180,1189.060059,1162.430054,1187.829956,1187.829956,1621200
04-10-2019,1191.890015,1211.439941,1189.170044,1209,1209,1021092
